kind,owner,name,target,keys,delete,source
addPrimaryKey,permission_user,PK,,'permission_user_uuid',constraint history; unique=unspecified,console/migrations/m221017_131312_permission.php:60
createIndex,permission_user,idx-permission_user-permission_sub_section_uuid,,'permission_sub_section_uuid',constraint history; unique=unspecified,console/migrations/m221017_131312_permission.php:62
addForeignKey,permission_user,fk-permission_user-permission_sub_section_uuid,permission_sub_section,'permission_sub_section_uuid' -> 'permission_sub_section_uuid',unspecified,console/migrations/m221017_131312_permission.php:68
createIndex,permission_user,idx-permission_user-admin_id,,'admin_id',constraint history; unique=unspecified,console/migrations/m221017_131312_permission.php:76
addForeignKey,permission_user,fk-permission_user-admin_id,admin,'admin_id' -> 'admin_id',unspecified,console/migrations/m221017_131312_permission.php:82
createIndex,permission_user,idx-permission_user-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m221017_131312_permission.php:90
addForeignKey,permission_user,fk-permission_user-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m221017_131312_permission.php:96
addPrimaryKey,daily_standup_question,PK,,'question_uuid',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:32
addPrimaryKey,daily_standup_answer,PK,,'answer_uuid',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:44
createIndex,daily_standup_answer,idx-daily_standup_answer-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:46
addForeignKey,daily_standup_answer,fk-daily_standup_answer-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m221215_072607_attendance.php:53
createIndex,daily_standup_answer,idx-daily_standup_answer-question_uuid,,'question_uuid',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:61
addForeignKey,daily_standup_answer,fk-daily_standup_answer-question_uuid,daily_standup_question,'question_uuid' -> 'question_uuid',unspecified,console/migrations/m221215_072607_attendance.php:68
addPrimaryKey,staff_work_session,PK,,'work_session_uuid',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:84
createIndex,staff_work_session,idx-staff_work_session-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:86
addForeignKey,staff_work_session,fk-staff_work_session-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m221215_072607_attendance.php:93
addPrimaryKey,staff_leave,PK,,'staff_leave_uuid',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:111
createIndex,staff_leave,idx-staff_leave-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m221215_072607_attendance.php:113
addForeignKey,staff_leave,fk-staff_leave-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m221215_072607_attendance.php:120
addPrimaryKey,candidate_eval_ques,PK,,'ceq_uuid',constraint history; unique=unspecified,console/migrations/m230113_065332_candidate_evaluation.php:28
createIndex,candidate_eval_dept_ques,idx_candidate_eval_dept_ques_ceq_uuid,,'ceq_uuid',constraint history; unique=unspecified,console/migrations/m230113_065332_candidate_evaluation.php:51
createIndex,candidate_evaluation,idx_candidate_evaluation_candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m230113_065332_candidate_evaluation.php:53
createIndex,candidate_evaluation,idx_candidate_evaluation_ceq_uuid,,'ceq_uuid',constraint history; unique=unspecified,console/migrations/m230113_065332_candidate_evaluation.php:54
